Vorname,Nachname,Position,Tempo,Schuss,Pass,Zweikampf,Reflexe,Stellungsspiel,Stärke,Team_ID,Herkunft
Finn,Fischer,Mittelfeld,83,69,78,80,67,88,78,,TR_AR
Finn,Fischer,Verteidiger,80,54,62,75,55,82,68,,RUS_EU
Finn,Fischer,Torwart,53,58,72,71,78,90,70,,DE
Finn,Fischer,Stürmer,78,91,56,77,65,89,76,,DE
Finn,Fischer,Torwart,59,58,57,59,87,88,68,,BENELUX
Finn,Fischer,Verteidiger,60,69,55,73,58,71,64,,DE
Finn,Fischer,Stürmer,70,87,60,67,54,72,68,,IT
Finn,Fischer,Mittelfeld,65,63,99,74,61,71,72,,RUS_EU
Finn,Fischer,Stürmer,96,85,79,55,69,75,76,,DE
Finn,Fischer,Verteidiger,67,65,65,92,53,72,69,,DE
Finn,Fischer,Stürmer,75,80,67,58,55,71,68,,DE
Finn,Fischer,Torwart,63,64,63,72,96,75,72,,IT
Finn,Fischer,Verteidiger,79,58,61,89,59,67,69,,ES
Finn,Fischer,Mittelfeld,73,74,76,78,69,88,76,,RUS_EU
Finn,Fischer,Mittelfeld,63,71,91,62,52,89,71,,DE
Florian,Fischer,Torwart,51,56,66,62,78,73,64,,SCANDI
Florian,Fischer,Stürmer,91,93,65,57,56,73,72,,ES
Florian,Fischer,Mittelfeld,86,60,73,76,63,83,74,,SCANDI
Florian,Fischer,Torwart,62,65,62,64,80,71,67,,DE
Florian,Fischer,Mittelfeld,83,76,80,76,61,87,77,,DE
Florian,Fischer,Stürmer,95,84,56,77,56,95,77,,DE
Florian,Fischer,Stürmer,75,95,77,71,63,75,76,,BENELUX
Florian,Fischer,Mittelfeld,72,81,88,63,68,76,75,,DE
Florian,Fischer,Mittelfeld,86,78,76,79,64,74,76,,GR
Jan,Fischer,Mittelfeld,77,74,84,62,68,82,74,,DE
Jan,Fischer,Verteidiger,61,55,80,84,51,77,68,,DE
Jan,Fischer,Verteidiger,68,65,61,96,67,88,74,,DE
Jan,Fischer,Stürmer,73,94,55,78,50,73,70,,ES
Jan,Fischer,Stürmer,81,82,58,62,59,88,72,,DE
Jan,Fischer,Mittelfeld,69,76,79,64,51,67,68,,TR_AR
Jan,Fischer,Verteidiger,68,66,74,70,70,91,73,,BENELUX
Jan,Fischer,Mittelfeld,86,77,80,75,51,65,72,,DE
Jan,Fischer,Mittelfeld,64,84,74,74,68,79,74,,DE
Jan,Fischer,Mittelfeld,73,83,98,68,61,89,79,,DE
Jan,Fischer,Stürmer,94,87,62,66,54,82,74,,SCANDI
Jan,Fischer,Mittelfeld,87,61,85,83,50,89,76,,SCANDI
Jan,Fischer,Stürmer,85,97,55,71,62,89,76,,IT
Jan,Fischer,Verteidiger,68,53,80,82,55,83,70,,DE
Jan,Fischer,Mittelfeld,72,70,79,63,69,72,71,,DE
Jan,Fischer,Verteidiger,67,69,57,98,61,82,72,,TR_AR
Jan,Fischer,Verteidiger,77,57,80,94,66,86,77,,DE
Jan,Fischer,Mittelfeld,70,78,94,62,52,85,74,,ES
Jan,Fischer,Stürmer,95,72,70,77,62,89,78,,DE
Jonas,Fischer,Stürmer,97,93,59,74,70,77,78,,ES
Jonas,Fischer,Torwart,53,52,74,55,95,67,66,,TR_AR
Jonas,Fischer,Mittelfeld,86,60,80,84,64,74,75,,DE
Jonas,Fischer,Stürmer,87,97,74,80,58,71,78,,BENELUX
Jonas,Fischer,Verteidiger,78,58,79,88,62,85,75,,GR
Jonas,Fischer,Verteidiger,57,51,74,98,65,80,71,,TR_AR
Jonas,Fischer,Mittelfeld,71,75,71,66,69,69,70,,ES
Jonas,Fischer,Mittelfeld,60,62,99,73,64,74,72,,DE
Jonas,Fischer,Torwart,61,65,74,61,96,76,72,,DE
Jonas,Fischer,Verteidiger,63,60,57,88,57,82,68,,DE
Jonas,Fischer,Stürmer,95,100,72,57,68,83,79,,DE
Jonas,Fischer,Mittelfeld,77,63,94,61,61,65,70,,DE
Jonas,Fischer,Verteidiger,66,70,57,97,60,69,70,,DE
Jonas,Fischer,Mittelfeld,74,85,71,69,57,77,72,,DE
Jonas,Fischer,Mittelfeld,80,74,87,77,57,78,76,,IT
Jonas,Fischer,Mittelfeld,87,67,75,74,57,83,74,,TR_AR
Julian,Fischer,Mittelfeld,68,72,75,78,52,82,71,,BENELUX
Julian,Fischer,Stürmer,77,75,58,65,50,75,67,,DE
Julian,Fischer,Mittelfeld,62,61,83,81,50,86,70,,DE
Julian,Fischer,Verteidiger,77,55,66,82,51,67,66,,TR_AR
Julian,Fischer,Stürmer,95,79,58,57,55,83,71,,ES
Julian,Fischer,Mittelfeld,90,74,88,81,67,90,82,,DE
Julian,Fischer,Stürmer,77,93,58,58,69,87,74,,SCANDI
Julian,Fischer,Mittelfeld,85,79,71,66,63,75,73,,RUS_EU
Julian,Fischer,Verteidiger,63,58,59,84,69,68,67,,ES
Julian,Fischer,Torwart,51,56,68,73,90,80,70,,DE
Julian,Fischer,Stürmer,75,70,67,58,51,94,69,,DE
Julian,Fischer,Mittelfeld,67,68,74,66,68,85,71,,DE
Julian,Fischer,Torwart,61,56,74,75,77,65,68,,DE
Leon,Fischer,Torwart,58,54,64,63,90,74,67,,DE
Leon,Fischer,Mittelfeld,75,64,88,85,70,69,75,,DE
Leon,Fischer,Verteidiger,66,58,59,70,61,72,64,,BENELUX
Leon,Fischer,Mittelfeld,67,63,94,79,51,85,73,,DE
Leon,Fischer,Mittelfeld,68,78,86,76,57,71,73,,BENELUX
Leon,Fischer,Mittelfeld,67,72,73,85,61,65,70,,DE
Leon,Fischer,Verteidiger,56,55,66,89,62,94,70,,RUS_EU
Leon,Fischer,Stürmer,79,100,79,65,69,76,78,,DE
Leon,Fischer,Verteidiger,64,53,72,79,55,82,68,,TR_AR
Leon,Fischer,Verteidiger,75,66,80,73,54,81,72,,DE
Leon,Fischer,Mittelfeld,74,82,96,77,56,84,78,,GR
Lukas,Fischer,Mittelfeld,88,68,72,61,66,75,72,,DE
Lukas,Fischer,Stürmer,85,95,79,69,56,79,77,,DE
Lukas,Fischer,Stürmer,80,77,57,63,65,82,71,,RUS_EU
Lukas,Fischer,Stürmer,88,94,71,65,62,89,78,,DE
Lukas,Fischer,Verteidiger,77,68,79,95,61,71,75,,DE
Lukas,Fischer,Torwart,59,56,72,73,82,95,73,,TR_AR
Lukas,Fischer,Stürmer,75,70,61,59,63,94,70,,DE
Lukas,Fischer,Mittelfeld,60,76,83,72,70,77,73,,GR
Lukas,Fischer,Verteidiger,63,69,63,98,56,65,69,,EN_US
Lukas,Fischer,Mittelfeld,83,76,73,70,66,85,76,,DE
Lukas,Fischer,Verteidiger,79,57,57,87,62,71,69,,IT
Lukas,Fischer,Mittelfeld,66,65,82,84,58,86,74,,TR_AR
Lukas,Fischer,Verteidiger,62,69,78,78,54,75,69,,IT
Lukas,Fischer,Torwart,67,55,55,58,91,72,66,,DE
Lukas,Fischer,Mittelfeld,77,63,75,77,67,88,74,,DE
Lukas,Fischer,Verteidiger,71,50,71,87,52,74,68,,RUS_EU
Lukas,Fischer,Mittelfeld,70,81,75,65,57,72,70,,EN_US
Lukas,Fischer,Verteidiger,64,68,60,70,54,93,68,,GR
Lukas,Fischer,Verteidiger,77,69,70,92,55,80,74,,DE
Lukas,Fischer,Mittelfeld,69,84,90,75,53,69,73,,DE
Lukas,Fischer,Mittelfeld,85,69,73,66,53,68,69,,IT
Lukas,Fischer,Verteidiger,61,53,79,72,65,65,66,,IT
Marcel,Fischer,Verteidiger,67,54,79,88,60,81,72,,RUS_EU
Marcel,Fischer,Verteidiger,61,56,64,100,54,65,67,,DE
Marcel,Fischer,Stürmer,75,90,74,77,62,84,77,,EN_US
Marcel,Fischer,Mittelfeld,83,65,90,61,52,71,70,,ES
Marcel,Fischer,Verteidiger,65,66,65,71,52,68,64,,DE
Marcel,Fischer,Mittelfeld,77,62,98,62,60,78,73,,TR_AR
Marcel,Fischer,Mittelfeld,84,61,75,78,54,82,72,,DE
Marcel,Fischer,Mittelfeld,68,77,79,69,54,74,70,,EN_US
Marcel,Fischer,Verteidiger,63,64,61,82,59,93,70,,GR
Marcel,Fischer,Verteidiger,60,60,72,84,57,87,70,,DE
Marcel,Fischer,Torwart,50,59,75,66,92,87,72,,GR
Marcel,Fischer,Verteidiger,78,63,78,98,51,72,73,,DE
Max,Fischer,Verteidiger,58,60,79,93,70,89,75,,DE
Max,Fischer,Mittelfeld,85,76,96,64,53,69,74,,DE
Max,Fischer,Mittelfeld,65,60,74,68,68,65,67,,DE
Max,Fischer,Verteidiger,65,64,56,87,67,90,72,,DE
Max,Fischer,Stürmer,98,96,65,77,66,88,82,,SCANDI
Max,Fischer,Verteidiger,60,67,55,76,69,79,68,,DE
Max,Fischer,Mittelfeld,82,68,75,64,62,75,71,,TR_AR
Max,Fischer,Verteidiger,73,50,58,93,53,69,66,,DE
Moritz,Fischer,Torwart,55,61,70,58,91,91,71,,ES
Moritz,Fischer,Torwart,63,59,68,65,75,74,67,,EN_US
Moritz,Fischer,Verteidiger,75,51,79,77,60,89,72,,DE
Moritz,Fischer,Stürmer,77,84,68,59,63,75,71,,IT
Moritz,Fischer,Mittelfeld,70,68,91,60,57,78,71,,SCANDI
Moritz,Fischer,Mittelfeld,78,72,84,61,62,76,72,,ES
Moritz,Fischer,Mittelfeld,61,61,97,82,58,72,72,,DE
Moritz,Fischer,Verteidiger,80,51,77,97,67,75,74,,SCANDI
Moritz,Fischer,Mittelfeld,61,84,77,62,62,74,70,,DE
Moritz,Fischer,Verteidiger,63,56,60,88,62,84,69,,GR
Moritz,Fischer,Stürmer,73,97,66,59,52,89,73,,EN_US
Moritz,Fischer,Stürmer,91,94,74,59,57,95,78,,BENELUX
Niklas,Fischer,Verteidiger,59,53,68,82,68,91,70,,DE
Niklas,Fischer,Stürmer,75,87,58,65,54,92,72,,DE
Niklas,Fischer,Verteidiger,71,68,71,76,65,72,70,,TR_AR
Niklas,Fischer,Verteidiger,71,56,57,90,60,73,68,,DE
Niklas,Fischer,Mittelfeld,76,72,88,81,62,75,76,,DE
Niklas,Fischer,Stürmer,92,75,55,67,58,73,70,,DE
Niklas,Fischer,Verteidiger,64,54,67,95,64,65,68,,DE
Niklas,Fischer,Stürmer,97,70,67,73,57,71,72,,TR_AR
Niklas,Fischer,Verteidiger,66,53,56,87,60,95,70,,RUS_EU
Paul,Fischer,Verteidiger,62,52,59,70,64,66,62,,TR_AR
Paul,Fischer,Mittelfeld,68,63,93,65,51,87,71,,IT
Paul,Fischer,Mittelfeld,84,83,98,74,62,79,80,,TR_AR
Paul,Fischer,Mittelfeld,72,63,96,68,56,86,74,,TR_AR
Paul,Fischer,Verteidiger,73,62,58,81,70,68,69,,EN_US
Paul,Fischer,Mittelfeld,89,60,70,66,55,73,69,,ES
Paul,Fischer,Mittelfeld,66,64,98,76,61,77,74,,DE
Paul,Fischer,Mittelfeld,77,69,86,74,67,87,77,,DE
Paul,Fischer,Verteidiger,63,58,63,93,62,88,71,,SCANDI
Paul,Fischer,Verteidiger,74,66,70,90,50,86,73,,GR
Paul,Fischer,Verteidiger,74,63,64,92,61,92,74,,DE
Paul,Fischer,Mittelfeld,66,77,83,85,64,85,77,,IT
Paul,Fischer,Stürmer,86,97,55,80,65,71,76,,DE
Paul,Fischer,Mittelfeld,65,61,70,60,51,85,65,,BENELUX
Philipp,Fischer,Stürmer,87,100,63,73,51,94,78,,DE
Philipp,Fischer,Mittelfeld,85,81,80,71,68,82,78,,RUS_EU
Philipp,Fischer,Verteidiger,73,56,73,89,53,75,70,,RUS_EU
Philipp,Fischer,Mittelfeld,79,73,87,61,68,75,74,,DE
Philipp,Fischer,Verteidiger,74,63,78,84,55,94,75,,TR_AR
Philipp,Fischer,Mittelfeld,82,68,98,67,64,72,75,,IT
Philipp,Fischer,Mittelfeld,67,77,75,81,52,88,73,,SCANDI
Philipp,Fischer,Mittelfeld,82,62,100,68,70,71,76,,EN_US
Philipp,Fischer,Mittelfeld,82,73,76,77,52,88,75,,DE
Philipp,Fischer,Stürmer,83,93,64,72,66,85,77,,DE
Philipp,Fischer,Mittelfeld,67,79,70,85,53,65,70,,DE
Philipp,Fischer,Mittelfeld,71,66,72,81,52,75,70,,DE
Philipp,Fischer,Mittelfeld,67,65,97,67,57,72,71,,TR_AR
Philipp,Fischer,Torwart,70,65,67,70,83,74,72,,RUS_EU
Robin,Fischer,Mittelfeld,64,70,97,83,64,86,77,,DE
Robin,Fischer,Verteidiger,75,52,69,94,58,92,73,,DE
Robin,Fischer,Stürmer,95,99,55,75,58,71,76,,DE
Robin,Fischer,Stürmer,96,83,60,56,60,77,72,,DE
Robin,Fischer,Verteidiger,58,63,70,71,67,66,66,,SCANDI
Robin,Fischer,Mittelfeld,81,77,87,61,58,87,75,,TR_AR
Robin,Fischer,Mittelfeld,62,82,84,77,51,84,73,,DE
Robin,Fischer,Mittelfeld,80,72,92,76,63,69,75,,DE
Robin,Fischer,Mittelfeld,82,61,70,62,67,77,70,,SCANDI
Robin,Fischer,Stürmer,89,97,58,70,56,70,73,,RUS_EU
Robin,Fischer,Verteidiger,73,59,60,90,61,82,71,,DE
Robin,Fischer,Mittelfeld,70,72,89,69,65,82,74,,DE
Sebastian,Fischer,Mittelfeld,68,74,77,82,63,90,76,,DE
Sebastian,Fischer,Mittelfeld,68,79,75,60,51,70,67,,DE
Sebastian,Fischer,Mittelfeld,62,79,92,70,69,72,74,,DE
Sebastian,Fischer,Stürmer,86,72,67,63,54,82,71,,DE
Sebastian,Fischer,Stürmer,85,84,79,72,53,89,77,,DE
Sebastian,Fischer,Mittelfeld,72,62,83,84,62,77,73,,SCANDI
Sebastian,Fischer,Verteidiger,77,65,65,94,63,69,72,,IT
Sebastian,Fischer,Stürmer,100,92,59,55,62,71,73,,GR
Sebastian,Fischer,Torwart,52,51,56,62,92,95,68,,BENELUX
Sebastian,Fischer,Verteidiger,55,53,60,92,52,75,64,,DE
Sebastian,Fischer,Mittelfeld,78,80,100,81,64,81,81,,DE
Sebastian,Fischer,Stürmer,95,73,79,55,70,89,77,,DE
Sebastian,Fischer,Verteidiger,79,65,74,89,64,86,76,,EN_US
Sebastian,Fischer,Verteidiger,56,55,68,84,53,78,66,,DE
Sebastian,Fischer,Mittelfeld,66,73,97,72,69,69,74,,DE
Sebastian,Fischer,Mittelfeld,78,74,91,67,53,78,74,,IT
Sebastian,Fischer,Verteidiger,55,66,70,85,57,65,66,,DE
Sebastian,Fischer,Verteidiger,60,66,71,89,58,65,68,,GR
Sebastian,Fischer,Mittelfeld,79,82,95,72,54,66,75,,IT
Tim,Fischer,Verteidiger,55,68,73,73,56,90,69,,GR
Tim,Fischer,Stürmer,81,71,75,64,51,82,71,,DE
Tim,Fischer,Mittelfeld,63,79,75,80,53,67,70,,RUS_EU
Tim,Fischer,Stürmer,96,79,55,61,57,70,70,,DE
Tim,Fischer,Stürmer,76,100,72,56,62,90,76,,DE
Tim,Fischer,Torwart,58,57,65,71,82,65,66,,DE
Tim,Fischer,Verteidiger,79,70,65,92,68,88,77,,DE
Tobias,Fischer,Stürmer,79,80,75,65,61,77,73,,DE
Tobias,Fischer,Verteidiger,65,69,64,95,68,83,74,,GR
Tobias,Fischer,Verteidiger,72,53,78,99,53,67,70,,IT
Tobias,Fischer,Stürmer,87,82,71,74,57,79,75,,DE
Tobias,Fischer,Mittelfeld,69,69,86,61,66,67,70,,DE
Tobias,Fischer,Stürmer,83,74,57,70,52,86,70,,IT
Tobias,Fischer,Mittelfeld,76,67,82,68,59,66,70,,DE
Tobias,Fischer,Stürmer,80,100,66,62,50,83,74,,GR
Tobias,Fischer,Torwart,62,57,75,65,76,84,70,,TR_AR
Tobias,Fischer,Verteidiger,64,63,78,89,67,69,72,,DE
Tobias,Fischer,Verteidiger,66,68,75,84,70,77,73,,DE
Tobias,Fischer,Torwart,60,54,56,57,83,86,66,,TR_AR
Tobias,Fischer,Stürmer,70,75,70,60,60,79,69,,DE
Tobias,Fischer,Mittelfeld,82,73,94,85,56,83,79,,DE
Carlos,Garcia,Verteidiger,67,53,77,77,60,70,67,,DE
Carlos,Garcia,Torwart,57,53,61,59,98,73,67,,DE
Carlos,Garcia,Mittelfeld,71,74,93,61,68,76,74,,BENELUX
Carlos,Garcia,Stürmer,84,99,55,59,52,92,74,,DE
Carlos,Garcia,Torwart,56,52,69,73,81,75,68,,TR_AR
Carlos,Garcia,Torwart,51,51,70,70,99,79,70,,RUS_EU
Carlos,Garcia,Verteidiger,72,65,67,85,70,93,75,,DE
Diego,Garcia,Mittelfeld,72,72,74,77,59,85,73,,BENELUX
Diego,Garcia,Verteidiger,60,70,64,79,51,79,67,,BENELUX
Diego,Garcia,Stürmer,95,75,79,79,65,89,80,,TR_AR
Diego,Garcia,Mittelfeld,69,80,71,62,50,90,70,,DE
Diego,Garcia,Verteidiger,67,50,61,86,64,65,66,,TR_AR
Diego,Garcia,Verteidiger,67,52,64,90,64,74,68,,DE
Fernando,Garcia,Verteidiger,66,57,57,72,68,66,64,,DE
Fernando,Garcia,Stürmer,79,95,56,74,60,78,74,,DE
Fernando,Garcia,Mittelfeld,60,67,82,82,65,66,70,,DE
Fernando,Garcia,Torwart,66,50,61,60,78,90,68,,DE
Fernando,Garcia,Stürmer,75,86,68,55,66,70,70,,IT
Fernando,Garcia,Stürmer,82,72,69,64,54,87,71,,DE
Javier,Garcia,Stürmer,82,87,58,68,50,72,70,,GR
Javier,Garcia,Mittelfeld,72,82,81,70,68,85,76,,DE
Javier,Garcia,Stürmer,74,71,73,73,68,81,73,,DE
Jose,Garcia,Mittelfeld,85,67,94,67,70,85,78,,IT
Jose,Garcia,Torwart,57,60,70,57,98,81,70,,DE
Juan,Garcia,Torwart,51,59,71,65,85,84,69,,DE
Juan,Garcia,Mittelfeld,63,65,96,80,53,74,72,,DE
Juan,Garcia,Stürmer,79,93,76,65,65,72,75,,DE
Juan,Garcia,Torwart,53,61,71,75,74,93,71,,DE
Luis,Garcia,Verteidiger,66,58,64,84,53,86,68,,BENELUX
Luis,Garcia,Verteidiger,61,52,67,95,53,70,66,,DE
Luis,Garcia,Verteidiger,58,50,55,81,55,74,62,,DE
Luis,Garcia,Stürmer,87,81,75,67,62,75,74,,TR_AR
Luis,Garcia,Mittelfeld,67,67,100,65,54,84,73,,DE
Luis,Garcia,Mittelfeld,68,64,92,62,68,84,73,,BENELUX
Luis,Garcia,Verteidiger,75,67,64,72,51,66,66,,TR_AR
Luis,Garcia,Mittelfeld,60,68,94,83,53,69,71,,DE
Luis,Garcia,Verteidiger,64,69,66,76,55,69,66,,DE
Miguel,Garcia,Stürmer,83,93,69,67,56,73,74,,DE
Miguel,Garcia,Verteidiger,59,56,71,91,67,74,70,,ES
Miguel,Garcia,Torwart,61,55,74,74,91,85,73,,DE
Miguel,Garcia,Torwart,67,52,58,70,76,80,67,,DE
Miguel,Garcia,Stürmer,78,93,57,78,69,70,74,,DE
Miguel,Garcia,Verteidiger,55,56,65,74,67,69,64,,BENELUX
Miguel,Garcia,Torwart,64,58,71,65,76,87,70,,TR_AR
Miguel,Garcia,Verteidiger,61,70,72,71,58,90,70,,GR
Raul,Garcia,Mittelfeld,63,82,81,82,67,85,77,,IT
Raul,Garcia,Verteidiger,55,69,75,89,65,85,73,,IT
Raul,Garcia,Torwart,61,52,70,57,88,70,66,,DE
Raul,Garcia,Torwart,52,54,64,61,86,86,67,,DE
Raul,Garcia,Mittelfeld,83,70,79,60,56,65,69,,DE
Raul,Garcia,Verteidiger,68,59,63,91,67,69,70,,SCANDI
Raul,Garcia,Mittelfeld,62,79,80,77,51,79,71,,GR
Raul,Garcia,Verteidiger,79,64,61,99,56,93,75,,DE
Raul,Garcia,Stürmer,93,92,56,72,66,94,79,,DE
Raul,Garcia,Mittelfeld,77,78,73,77,54,71,72,,DE
Sergio,Garcia,Mittelfeld,62,60,83,70,58,78,68,,DE
Sergio,Garcia,Stürmer,72,98,70,58,52,84,72,,DE
Sergio,Garcia,Verteidiger,79,69,69,93,61,66,73,,DE
Sergio,Garcia,Verteidiger,65,62,69,100,55,85,73,,DE
Sergio,Garcia,Stürmer,76,80,61,59,50,91,70,,DE
Sergio,Garcia,Torwart,66,55,65,73,90,95,74,,DE
Antonis,Georgiou,Stürmer,93,78,72,65,56,84,75,,ES
Antonis,Georgiou,Verteidiger,74,56,71,98,70,80,75,,DE
Antonis,Georgiou,Verteidiger,61,51,70,84,54,79,66,,DE
Antonis,Georgiou,Mittelfeld,87,61,83,83,69,87,78,,DE
Antonis,Georgiou,Stürmer,83,81,80,58,69,75,74,,GR
Antonis,Georgiou,Stürmer,88,95,58,77,69,86,79,,DE
Christos,Georgiou,Stürmer,74,88,55,62,70,73,70,,DE
Christos,Georgiou,Mittelfeld,69,65,95,78,50,66,70,,DE
Christos,Georgiou,Mittelfeld,84,60,84,60,63,80,72,,ES
Christos,Georgiou,Stürmer,84,98,77,68,54,84,78,,DE
Dimitris,Georgiou,Torwart,69,55,69,65,98,92,75,,RUS_EU
Dimitris,Georgiou,Mittelfeld,86,66,96,82,62,87,80,,GR
Dimitris,Georgiou,Mittelfeld,82,60,96,85,57,75,76,,TR_AR
Dimitris,Georgiou,Stürmer,95,74,63,56,56,77,70,,DE
Giorgos,Georgiou,Stürmer,88,92,79,76,59,85,80,,DE
Giorgos,Georgiou,Verteidiger,58,62,67,74,59,86,68,,DE
Giorgos,Georgiou,Torwart,59,63,60,65,77,66,65,,DE
Giorgos,Georgiou,Mittelfeld,90,62,96,71,51,75,74,,IT
Kostas,Georgiou,Mittelfeld,73,85,85,60,65,73,74,,GR
Kostas,Georgiou,Stürmer,89,87,73,78,56,78,77,,DE
Kostas,Georgiou,Mittelfeld,78,74,78,75,53,67,71,,DE
Kostas,Georgiou,Verteidiger,58,58,63,90,64,85,70,,GR
Nikos,Georgiou,Mittelfeld,90,70,92,67,64,83,78,,DE
Nikos,Georgiou,Stürmer,96,98,69,73,60,79,79,,TR_AR
Nikos,Georgiou,Verteidiger,60,60,70,99,55,76,70,,DE
Nikos,Georgiou,Stürmer,87,99,57,58,57,70,71,,DE
Panagiotis,Georgiou,Torwart,70,50,55,62,98,83,70,,DE
Panagiotis,Georgiou,Stürmer,82,88,62,73,70,94,78,,DE
Panagiotis,Georgiou,Mittelfeld,63,81,72,82,65,66,72,,DE
Spyros,Georgiou,Verteidiger,56,60,71,82,51,74,66,,GR
Spyros,Georgiou,Stürmer,98,71,64,61,56,75,71,,DE
Spyros,Georgiou,Mittelfeld,72,73,84,62,53,85,72,,DE
Spyros,Georgiou,Verteidiger,79,52,62,88,66,85,72,,DE
Spyros,Georgiou,Stürmer,72,97,58,76,61,77,74,,DE
Spyros,Georgiou,Mittelfeld,62,69,80,67,54,67,66,,DE
Spyros,Georgiou,Mittelfeld,79,81,75,85,60,72,75,,DE
Thanasis,Georgiou,Mittelfeld,81,77,80,72,65,85,77,,DE
Thanasis,Georgiou,Torwart,57,62,67,59,94,72,68,,TR_AR
Thanasis,Georgiou,Stürmer,92,95,65,67,68,74,77,,DE
Thanasis,Georgiou,Torwart,54,55,57,74,84,74,66,,DE
Thanasis,Georgiou,Mittelfeld,83,78,76,85,53,87,77,,DE
Vasilis,Georgiou,Mittelfeld,70,74,95,70,62,78,75,,TR_AR
Vasilis,Georgiou,Stürmer,100,91,72,78,64,74,80,,DE
Vasilis,Georgiou,Torwart,61,50,75,66,90,85,71,,DE
Vasilis,Georgiou,Verteidiger,70,62,64,72,68,84,70,,GR
Vasilis,Georgiou,Stürmer,90,98,75,75,67,91,83,,SCANDI
Vasilis,Georgiou,Verteidiger,55,61,69,79,58,77,66,,TR_AR
Vasilis,Georgiou,Verteidiger,56,67,65,93,61,71,69,,DE
Carlos,Gomez,Stürmer,91,73,62,59,66,93,74,,BENELUX
Diego,Gomez,Torwart,63,65,66,66,80,93,72,,DE
Diego,Gomez,Stürmer,95,91,67,61,57,74,74,,SCANDI
Diego,Gomez,Mittelfeld,68,80,74,70,63,71,71,,DE
Fernando,Gomez,Verteidiger,60,52,57,92,53,85,66,,IT
Fernando,Gomez,Verteidiger,80,50,72,78,68,83,72,,TR_AR
Fernando,Gomez,Stürmer,73,96,78,59,66,80,75,,SCANDI
Fernando,Gomez,Stürmer,80,83,59,69,69,73,72,,DE
Fernando,Gomez,Mittelfeld,82,76,71,75,57,69,72,,SCANDI
Fernando,Gomez,Verteidiger,74,59,64,97,60,91,74,,DE
Javier,Gomez,Mittelfeld,66,81,75,63,64,87,73,,DE
Javier,Gomez,Mittelfeld,80,72,83,70,60,85,75,,SCANDI
Javier,Gomez,Stürmer,97,93,77,79,51,88,81,,DE
Javier,Gomez,Torwart,57,53,69,61,99,89,71,,TR_AR
Javier,Gomez,Stürmer,100,90,77,74,68,82,82,,TR_AR
Jose,Gomez,Verteidiger,68,55,79,80,52,92,71,,RUS_EU
Jose,Gomez,Mittelfeld,61,80,83,83,58,75,73,,DE
Jose,Gomez,Mittelfeld,88,78,83,81,56,78,77,,RUS_EU
Juan,Gomez,Torwart,55,64,71,70,78,88,71,,DE
Juan,Gomez,Verteidiger,71,51,72,85,64,74,70,,EN_US
Juan,Gomez,Verteidiger,57,64,67,85,53,78,67,,ES
Juan,Gomez,Verteidiger,74,68,66,70,55,80,69,,GR
Juan,Gomez,Stürmer,82,74,64,71,61,86,73,,DE
Luis,Gomez,Mittelfeld,60,78,74,77,52,67,68,,SCANDI
Luis,Gomez,Mittelfeld,81,80,92,67,70,84,79,,EN_US
Luis,Gomez,Mittelfeld,79,84,98,74,55,82,79,,EN_US
Luis,Gomez,Mittelfeld,64,66,91,64,69,65,70,,DE
Miguel,Gomez,Mittelfeld,86,75,82,73,64,80,77,,DE
Raul,Gomez,Verteidiger,57,65,78,94,69,94,76,,TR_AR
Raul,Gomez,Verteidiger,56,60,68,71,57,82,66,,RUS_EU
Raul,Gomez,Verteidiger,57,55,56,87,59,87,67,,TR_AR
Raul,Gomez,Verteidiger,56,51,73,88,59,81,68,,GR
Raul,Gomez,Mittelfeld,88,75,77,62,62,87,75,,GR
Sergio,Gomez,Stürmer,86,85,73,75,62,85,78,,DE
Sergio,Gomez,Stürmer,72,91,56,71,70,92,75,,ES
Sergio,Gomez,Verteidiger,64,67,80,74,67,81,72,,EN_US
Alessandro,Greco,Stürmer,88,83,73,68,51,86,75,,BENELUX
Alessandro,Greco,Mittelfeld,70,60,95,85,68,65,74,,DE
Alessandro,Greco,Stürmer,93,80,79,61,62,79,76,,EN_US
Antonio,Greco,Torwart,54,60,58,66,94,89,70,,BENELUX
Antonio,Greco,Verteidiger,60,57,57,83,63,69,65,,TR_AR
Antonio,Greco,Mittelfeld,72,67,86,85,60,69,73,,DE
Antonio,Greco,Verteidiger,63,62,62,95,55,66,67,,DE
Antonio,Greco,Stürmer,86,91,76,68,70,76,78,,GR
Davide,Greco,Mittelfeld,60,83,83,82,53,78,73,,DE
Davide,Greco,Mittelfeld,69,73,82,65,57,78,71,,TR_AR
Francesco,Greco,Verteidiger,77,59,71,78,52,88,71,,DE
Francesco,Greco,Mittelfeld,85,83,87,84,57,87,80,,DE
Francesco,Greco,Stürmer,97,71,77,73,58,92,78,,TR_AR
Francesco,Greco,Stürmer,91,82,67,71,59,73,74,,TR_AR
Francesco,Greco,Mittelfeld,89,70,97,78,63,70,78,,DE
Giuseppe,Greco,Stürmer,97,80,78,62,62,82,77,,BENELUX
Giuseppe,Greco,Verteidiger,80,63,75,88,63,85,76,,GR
Giuseppe,Greco,Verteidiger,57,67,60,89,61,87,70,,DE
Giuseppe,Greco,Mittelfeld,83,72,84,60,63,70,72,,DE
Giuseppe,Greco,Stürmer,73,81,75,59,58,91,73,,RUS_EU
